Site,Date,DOY,Sunset time,Time,After sunset (min),SQM (mags/arcsec2),Temperature (°C),Wet Bulb Temp (°C),Relative Humidity (%),Barometric Pressure (mb),Altitude (m),Station Pressure (mb),Heat Index (°C),Dew Point (°C),Humidity Ratio (g/kg),Density Altitude (m),Relative Air Density (%),Air Flow (m3/m),Air Speed (km/h),Evaporation Rate (kg/m²/h),Wind Chill (°C),Delta T (°C),Air Density (kg/m3),Notes
Z2-2,June 23,173,8:24 PM,9:14 PM,50,17.28,27,24.1,78.9,999,60,1006,30.5,23,17.92,607,94.2,3,2,0,27,2.9,1.155,
Z2-2,June 23,173,8:24 PM,9:29 PM,65,18.6,26.9,24.3,80.7,999.2,60,1006.1,30.5,23.3,18.22,605,94.3,1,1.2,0,26.9,2.6,1.155,
Z2-2,June 23,173,8:24 PM,9:44 PM,80,19.11,26.6,23.8,79.9,999.2,58,1006.2,29.8,22.8,17.69,590,94.4,1,1.3,0,26.6,2.8,1.157,
Z2-2,June 23,173,8:24 PM,9:59 PM,95,19.28,26.7,24.1,80.8,999.2,58,1006.3,29.9,23.1,17.99,593,94.4,0,0,0,26.6,2.6,1.156,
Z2-2,June 23,173,8:24 PM,10:14 PM,110,19.45,26.6,24.1,81.9,999.4,57,1006.3,29.9,23.2,18.11,590,94.4,0,0,0,26.5,2.5,1.157,
Z2-2,June 23,173,8:24 PM,10:29 PM,125,19.47,26,23.7,82.7,999.2,59,1006.2,28.7,22.8,17.63,568,94.6,0,0,0,25.9,2.3,1.159,
Z2-3,June 23,173,8:24 PM,8:24 PM,0,9.39,29.1,25.4,74.7,998.7,62,1005.7,34.4,24.1,19.17,687,93.5,0,0,0,29,3.7,1.146,
Z2-3,June 23,173,8:24 PM,8:39 PM,15,10.88,27.5,24.2,76.3,999,62,1005.9,31.1,23,17.83,623,94.1,0,0,0,27.5,3.3,1.153,
Z2-3,June 23,173,8:24 PM,8:54 PM,30,13.86,27.4,24.3,78.2,999.2,60,1006.1,31,23.2,18.1,618,94.1,1,1.3,0,27.3,3,1.153,
Z2-3,June 23,173,8:24 PM,9:09 PM,45,16.67,27.1,24,77.8,999,60,1006,30.3,22.9,17.72,608,94.2,0,0,0,27,3.1,1.155,
Z2-3,June 23,173,8:24 PM,9:24 PM,60,18.5,26.8,23.9,78.6,999.5,57,1006.3,30.1,22.8,17.65,596,94.4,2,1.2,0,26.8,2.9,1.156,
Z2-3,June 23,173,8:24 PM,9:39 PM,75,18.92,26.6,23.9,80.2,999.7,55,1006.6,29.6,22.9,17.75,584,94.5,1,1.1,0,26.5,2.7,1.157,
Z2-3,June 23,173,8:24 PM,9:54 PM,90,18.85,26.4,23.8,81.2,999.5,56,1006.5,29.6,22.9,17.79,580,94.5,2,1.5,0,26.4,2.6,1.158,
Z2-3,June 23,173,8:24 PM,10:09 PM,105,19.36,26.3,23.8,81.4,999.5,56,1006.5,29.4,22.9,17.73,576,94.5,2,1.7,0,26.3,2.5,1.158,
Z2-3,June 23,173,8:24 PM,10:24 PM,120,19.37,26.3,23.9,82.1,1000.2,50,1007.2,29.2,23,17.84,569,94.6,2,1.8,0,26.2,2.4,1.159,
Z3-1,June 23,173,8:24 PM,8:34 PM,10,11.41,27.7,25,80.7,1010.1,24,1010.1,32.1,24.1,19.02,596,94.4,0,0,0,27.7,2.7,1.156,
Z3-1,June 23,173,8:24 PM,8:49 PM,25,13.56,27.2,25,83.3,1010.1,24,1010.1,31.5,24.1,19.12,580,94.5,2,1.3,0,27.2,2.2,1.158,
Z3-1,June 23,173,8:24 PM,9:04 PM,40,16.42,26.5,24.3,83.6,1010.7,19,1010.7,29.9,23.5,18.31,544,94.8,0,0,0,26.4,2.2,1.162,
Z3-1,June 23,173,8:24 PM,9:19 PM,55,18.03,26.5,24.3,84,1010.8,19,1010.8,29.9,23.5,18.4,542,94.8,0,0,0,26.4,2.2,1.162,
Z3-1,June 23,173,8:24 PM,9:34 PM,70,19.29,26.5,24.4,84.5,1010.6,19,1010.6,30.1,23.7,18.56,546,94.8,0,0,0,26.5,2.1,1.162,
Z3-1,June 23,173,8:24 PM,9:49 PM,85,19.18,26.7,24.7,84.5,1010.9,17,1010.9,30.6,23.9,18.8,553,94.7,0,0,0,26.7,2,1.161,
Z3-1,June 23,173,8:24 PM,10:04 PM,100,19.35,26.3,24.5,86.8,1010.8,19,1010.8,30,23.9,18.85,539,94.9,0,0,0,26.3,1.8,1.162,
Z3-1,June 23,173,8:24 PM,10:19 PM,115,19.31,25.8,24.6,91.1,1011,16,1011,29.1,24.2,19.17,520,95,0,0,0,25.7,1.2,1.164,
Z3-1,June 23,173,8:24 PM,10:34 PM,130,19.49,26,24.1,85.6,1011,17,1011,29.2,23.4,18.23,523,95,0,0,0,26,1.9,1.164,
Z3-2,June 23,173,8:24 PM,8:29 PM,5,10.17,28.7,25.1,74.7,1010.1,24,1010.1,33.6,23.8,18.68,627,94.1,0,0,0,28.7,3.6,1.152,
Z3-2,June 23,173,8:24 PM,8:44 PM,20,12.32,27.2,24.8,82.5,1010.3,23,1010.3,31.4,23.9,18.87,575,94.5,0,0,0,27.2,2.4,1.158,
Z3-2,June 23,173,8:24 PM,8:59 PM,35,15.78,27.1,24.9,83.4,1010,25,1010,31.3,24.1,19.03,577,94.5,0,0,0,27.1,2.2,1.158,
Z3-2,June 23,173,8:24 PM,9:14 PM,50,17.57,26.5,24.3,83.6,1010.7,19,1010.7,29.9,23.5,18.33,544,94.8,0,0,0,26.4,2.2,1.162,
Z3-2,June 23,173,8:24 PM,9:29 PM,65,18.79,26.6,24.6,84.5,1011,17,1011,30.3,23.8,18.72,549,94.8,2,1.3,0,26.6,2,1.161,
Z3-2,June 23,173,8:24 PM,9:44 PM,80,19.57,26.5,24.5,84.9,1011.1,16,1011.1,30.2,23.8,18.66,542,94.8,0,0,0,26.5,2,1.162,
Z3-2,June 23,173,8:24 PM,9:59 PM,95,19.7,26.3,24.3,84.8,1011,16,1011,29.6,23.5,18.36,533,94.9,0,0,0,26.2,2,1.163,
Z3-2,June 23,173,8:24 PM,10:14 PM,110,19.97,26.1,23.9,83.8,1011.4,14,1011.4,29,23.1,17.89,520,95.1,1,1.2,0,26,2.2,1.165,
Z3-2,June 23,173,8:24 PM,10:29 PM,125,20.03,25.8,23.9,85.7,1011,16,1011,28.8,23.2,18.04,516,95.1,0,0,0,25.8,1.9,1.165,
Z3-3,June 23,173,8:24 PM,8:24 PM,0,10.26,28.1,25.1,78.2,1009.8,27,1009.8,32.7,24,18.94,612,94.2,2,1.4,0,28.1,3,1.154,
Z3-3,June 23,173,8:24 PM,8:39 PM,15,11.97,27.3,24.5,79.8,1009.9,26,1009.9,31,23.5,18.34,578,94.5,1,1.1,0,27.2,2.8,1.158,
Z3-3,June 23,173,8:24 PM,8:54 PM,30,14.65,27.2,25,83.5,1010.5,20,1010.5,31.6,24.2,19.17,577,94.5,0,0,0,27.2,2.2,1.158,
Z3-3,June 23,173,8:24 PM,9:09 PM,45,17.53,26.6,24.5,85,1010.4,21,1010.4,30.2,23.8,18.72,551,94.8,0,0,0,26.5,2,1.161,
Z3-3,June 23,173,8:24 PM,9:24 PM,60,18.81,26.4,24.1,83.1,1010.7,19,1010.7,29.6,23.3,18.11,538,94.9,1,1.2,0,26.3,2.3,1.162,
Z3-3,June 23,173,8:24 PM,9:39 PM,75,19.13,26.3,24.1,83.4,1010.6,19,1010.6,29.7,23.3,18.08,536,94.9,0,0,0,26.3,2.2,1.163,
Z3-3,June 23,173,8:24 PM,9:54 PM,90,19.57,26.3,24.3,84.7,1010.7,19,1010.7,29.6,23.5,18.36,537,94.9,2,1.9,0,26.2,2,1.163,
Z3-3,June 23,173,8:24 PM,10:09 PM,105,19.58,26.2,24.9,89.8,1010.7,19,1010.7,30.1,24.4,19.43,541,94.9,0,0,0,26.2,1.3,1.162,
Z3-3,June 23,173,8:24 PM,10:24 PM,120,19.48,25.9,24.2,86.6,1010.6,20,1010.6,29.1,23.5,18.36,526,95,0,0,0,25.9,1.7,1.164,
S1-1,June 25,175,8:25 PM,8:35 PM,10,11.16,26.2,21.7,67.6,1009.7,27,1009.7,27.7,19.8,14.53,523,95,0,0,0,26.2,4.5,1.164,
S1-1,June 25,175,8:25 PM,8:50 PM,25,13.6,26.4,21.7,66.6,1010,25,1010,27.9,19.7,14.48,526,95,0,0,0,26.4,4.7,1.164,
S1-1,June 25,175,8:25 PM,9:05 PM,40,16.81,26.6,21.8,65.9,1010.1,24,1010.1,27.9,19.7,14.45,530,95,0,0,0,26.5,4.8,1.163,
S1-1,June 25,175,8:25 PM,9:20 PM,55,18.56,26,21.4,67.1,1010.5,21,1010.5,27.2,19.4,14.21,505,95.2,1,1.3,0,26,4.6,1.166,
S1-1,June 25,175,8:25 PM,9:35 PM,70,18.8,25.3,21.1,68.8,1010.6,20,1010.6,26.2,19.2,13.97,478,95.4,2,1.7,0.01,25.3,4.2,1.169,
S1-1,June 25,175,8:25 PM,9:50 PM,85,19.1,25.6,21.2,68.4,1010.4,22,1010.4,26.5,19.3,14.1,488,95.3,1,1.2,0,25.5,4.3,1.168,
S1-1,June 25,175,8:25 PM,10:05 PM,100,19.62,25,21.2,71.9,1010.6,19,1010.6,25.7,19.5,14.31,468,95.5,1,1.3,0,24.9,3.8,1.17,
S1-1,June 25,175,8:25 PM,10:20 PM,115,19.21,25.5,21.8,73,1010.6,19,1010.6,26.9,20.3,15.04,492,95.3,1,1.2,0,25.5,3.7,1.168,
S1-1,June 25,175,8:25 PM,10:35 PM,130,19.04,24.7,21.3,74.5,1010.6,19,1010.6,25.4,19.8,14.58,459,95.6,0,0,0,24.6,3.4,1.171,
S1-2,June 25,175,8:25 PM,8:30 PM,5,10.63,26.6,22,67.1,1009.3,31,1009.3,28.3,20,14.76,540,94.9,0,0,0,26.6,4.6,1.162,
S1-2,June 25,175,8:25 PM,8:45 PM,20,12.87,26.2,21.4,66.4,1009.5,29,1009.5,27.4,19.4,14.22,520,95.1,0,0,0,26.1,4.8,1.165,
S1-2,June 25,175,8:25 PM,9:00 PM,35,15.58,26.4,21.6,66.2,1009.7,27,1009.7,27.7,19.5,14.31,524,95,1,1.2,0,26.3,4.8,1.164,
S1-2,June 25,175,8:25 PM,9:15 PM,50,18.16,25.5,20.9,66.6,1010,24,1010,26.4,18.8,13.68,490,95.3,1,1.3,0.01,25.5,4.6,1.168,
S1-2,June 25,175,8:25 PM,9:30 PM,65,19.28,25.8,21.6,69.1,1010.2,24,1010.2,27,19.7,14.43,500,95.2,1,1.2,0,25.7,4.2,1.167,
S1-2,June 25,175,8:25 PM,9:45 PM,80,19.48,25.2,21.3,70.9,1010.1,24,1010.1,26.2,19.6,14.37,484,95.4,1,1.2,0,25.2,4,1.169,
S1-2,June 25,175,8:25 PM,10:00 PM,95,19.42,25.5,21.3,69.6,1010.2,24,1010.2,26.7,19.5,14.32,491,95.3,0,0,0,25.5,4.2,1.168,
S1-2,June 25,175,8:25 PM,10:15 PM,110,19.72,25.4,21.7,72.7,1010.3,22,1010.3,26.5,20.1,14.86,489,95.3,2,1.6,0,25.3,3.7,1.168,
S1-2,June 25,175,8:25 PM,10:30 PM,125,19.57,24.7,21.3,74.1,1010.2,23,1010.2,25.6,19.8,14.54,465,95.6,2,1.5,0,24.7,3.4,1.171,
S1-3,June 25,175,8:25 PM,8:25 PM,0,9.47,26.7,22.1,67.7,1008.9,35,1008.9,28.4,20.2,14.97,549,94.8,0,0,0,26.6,4.6,1.161,
S1-3,June 25,175,8:25 PM,8:40 PM,15,11.2,26.2,21.5,66.5,1008.9,34,1008.9,27.5,19.5,14.27,528,95,0,0,0,26.2,4.7,1.164,
S1-3,June 25,175,8:25 PM,8:55 PM,30,14.02,26.4,21.6,65.8,1009.2,32,1009.2,27.8,19.5,14.3,532,94.9,0,0,0,26.4,4.8,1.163,
S1-3,June 25,175,8:25 PM,9:10 PM,45,16.78,26,21.1,64.8,1009.4,30,1009.4,27.1,18.9,13.75,514,95.1,0,0,0.01,26,4.9,1.165,
S1-3,June 25,175,8:25 PM,9:25 PM,60,118.55,25.8,21.2,66.3,1009.6,28,1009.6,26.9,19.1,13.9,505,95.2,2,1.7,0.01,25.8,4.6,1.166,
S1-3,June 25,175,8:25 PM,9:40 PM,75,19.13,25.8,21.9,71.6,1009.6,28,1009.6,27.2,20.2,14.98,510,95.1,0,0,0,25.7,3.9,1.166,
S1-3,June 25,175,8:25 PM,9:55 PM,90,19.28,26,21.7,68.8,1009.7,28,1009.7,27.4,19.8,14.58,515,95.1,2,1.6,0,26,4.3,1.165,
S1-3,June 25,175,8:25 PM,10:10 PM,105,19.64,25,21.1,71.1,1009.8,26,1009.8,25.9,19.4,14.21,477,95.5,1,1.3,0,25,3.9,1.169,
S1-3,June 25,175,8:25 PM,10:25 PM,120,19.42,25.2,21.6,72.9,1009.8,26,1009.8,26.2,19.9,14.7,485,95.4,0,0,0,25.1,3.6,1.168,
S2-1,June 25,175,8:25 PM,8:35 PM,10,9.9,25.9,21.6,68.9,1003,27,1010,27,19.7,14.5,507,95.2,2,1.4,0,25.8,4.3,1.166,
S2-1,June 25,175,8:25 PM,8:50 PM,25,11.78,25.6,21.9,72.2,1003.2,25,1010.3,27.1,20.3,14.99,498,95.3,0,0,0,25.6,3.7,1.167,
S2-1,June 25,175,8:25 PM,9:05 PM,40,14.58,25.1,21.4,72.7,1003.4,24,1010.4,26,19.8,14.57,475,95.5,0,0,0,25,3.7,1.17,
S2-1,June 25,175,8:25 PM,9:20 PM,55,17.06,25.8,22,72.1,1004.2,17,1011.2,27.2,20.4,15.08,494,95.3,1,1.3,0,25.7,3.8,1.167,
S2-1,June 25,175,8:25 PM,9:35 PM,70,18.55,25.1,21.8,75.1,1003.7,21,1010.7,26.4,20.4,15.09,476,95.5,1,1.2,0,25.1,3.3,1.169,
S2-1,June 25,175,8:25 PM,9:50 PM,85,19.38,24.9,21.7,75.9,1003.7,21,1010.8,25.8,20.3,15.03,468,95.5,0,0,0,24.8,3.2,1.17,
S2-1,June 25,175,8:25 PM,10:05 PM,100,18.91,25,21.6,74.7,1004,19,1011,26.1,20.2,14.94,470,95.5,0,0,0,25,3.4,1.17,
S2-1,June 25,175,8:25 PM,10:20 PM,115,19.59,24.6,21.7,78.1,1003.7,20,1010.8,25.6,20.5,15.18,457,95.6,0,0,0,24.5,2.9,1.172,
S2-1,June 25,175,8:25 PM,10:35 PM,130,19.5,24.7,21.5,75.5,1003.7,21,1010.8,25.5,20,14.77,458,95.6,0,0,0,24.6,3.2,1.172,
S2-2,June 25,175,8:25 PM,8:30 PM,5,10.38,26,22,70.9,1003,26,1010.1,27.5,20.3,15.02,513,95.1,1,1.2,0,25.9,4,1.165,
S2-2,June 25,175,8:25 PM,8:45 PM,20,12.52,25.7,22.1,73.3,1003.2,24,1010.2,27.3,20.6,15.26,502,95.2,1,0,0,25.7,3.6,1.167,
S2-2,June 25,175,8:25 PM,9:00 PM,35,15.05,25.9,22,71.4,1003.5,23,1010.5,27.3,20.3,15.02,505,95.2,0,0,0,25.8,3.9,1.166,
S2-2,June 25,175,8:25 PM,9:15 PM,50,16.58,25.1,21.6,73.6,1003.7,21,1010.8,26.3,20.1,14.81,476,95.5,2,1.4,0,25.1,3.5,1.169,
S2-2,June 25,175,8:25 PM,9:30 PM,65,17.03,25.3,21.6,73.2,1003.7,21,1010.7,26.4,20.1,14.86,480,95.4,1,1.3,0,25.2,3.7,1.169,
S2-2,June 25,175,8:25 PM,9:45 PM,80,17.14,24.9,21.9,77.4,1003.7,21,1010.8,25.9,20.6,15.34,468,95.5,1,1.3,0,24.8,3,1.17,
S2-2,June 25,175,8:25 PM,10:00 PM,95,20,24.7,21.8,78.2,1003.7,21,1010.8,25.7,20.6,15.32,462,95.6,0,0,0,24.6,2.9,1.171,
S2-2,June 25,175,8:25 PM,10:15 PM,110,18.23,24.8,21.9,77.7,1003.9,19,1010.9,25.9,20.7,15.37,466,95.5,0,0,0,24.8,2.9,1.171,
S2-2,June 25,175,8:25 PM,10:30 PM,125,19.22,24.9,22.3,79.6,1003.9,19,1010.9,26.4,21.2,15.84,473,95.5,0,0,0,24.9,2.6,1.17,
S2-3,June 25,175,8:25 PM,8:25 PM,0,10.59,25.9,22,71.6,1002.9,28,1009.9,27.5,20.4,15.1,513,95.1,0,0,0,25.9,3.9,1.165,
S2-3,June 25,175,8:25 PM,8:40 PM,15,13.15,25.7,21.6,70.4,1003,27,1010,27,19.9,14.69,502,95.2,1,1.3,0,25.7,4.1,1.166,
S2-3,June 25,175,8:25 PM,8:55 PM,30,115.79,25.5,21.8,72.2,1003.2,24,1010.3,26.9,20.1,14.88,493,95.3,0,0,0,25.5,3.7,1.168,
S2-3,June 25,175,8:25 PM,9:10 PM,45,17.97,25.2,21.4,72.2,1003.2,24,1010.3,26.3,19.8,14.58,480,95.4,1,1.2,0,25.2,3.8,1.169,
S2-3,June 25,175,8:25 PM,9:25 PM,60,19.08,24.8,21.3,73.4,1003.5,23,1010.5,25.6,19.8,14.51,465,95.6,0,0,0,24.8,3.5,1.171,
S2-3,June 25,175,8:25 PM,9:40 PM,75,19.05,24.9,21.5,74.1,1003.5,23,1010.6,25.7,19.9,14.69,467,95.5,0,0,0,24.8,3.4,1.17,
S2-3,June 25,175,8:25 PM,9:55 PM,90,20.02,24.7,21.6,76.7,1003.7,21,1010.7,25.6,20.3,15.02,461,95.6,2,1.5,0,24.6,3.1,1.171,
S2-3,June 25,175,8:25 PM,10:10 PM,105,19.19,24.6,21.7,77.6,1003.7,21,1010.8,25.5,20.4,15.11,457,95.6,0,0,0,24.5,2.9,1.172,
S2-3,June 25,175,8:25 PM,10:25 PM,120,18.7,24.6,21.4,76,1003.7,21,1010.7,25.5,20.1,14.83,457,95.6,0,0,0,24.6,3.2,1.172,
S3-1,June 25,175,8:25 PM,8:35 PM,10,8.73,25.5,22.6,78.1,1013.5,-3,1013.5,27.4,21.4,16.06,468,95.5,0,0,0,25.5,2.9,1.17,
S3-1,June 25,175,8:25 PM,8:50 PM,25,11.27,24.5,23,88.3,1013.7,-4,1013.7,26.2,22.4,17.1,436,95.8,0,0,0,24.4,1.5,1.174,
S3-1,June 25,175,8:25 PM,9:05 PM,40,14.4,24.3,22.5,85.2,1013.9,-7,1013.9,25.8,21.7,16.31,423,95.9,0,0,0,24.3,1.8,1.175,
S3-1,June 25,175,8:25 PM,9:20 PM,55,17.3,23.4,21.6,85.7,1014.2,-8,1014.2,24.6,20.8,15.48,384,96.3,4,2.6,0,23.3,1.8,1.18,
S3-1,June 25,175,8:25 PM,9:35 PM,70,18.19,23.9,22.5,88.2,1014.3,-10,1014.3,25.5,21.9,16.51,408,96.1,0,0,0,23.9,1.4,1.177,
S3-1,June 25,175,8:25 PM,9:50 PM,85,18.55,23.5,22.1,89.4,1014.6,-12,1014.6,24.9,21.6,16.27,386,96.3,0,0,0,23.4,1.4,1.18,
S3-1,June 25,175,8:25 PM,10:05 PM,100,19.41,23.4,22.3,90.8,1014.4,-11,1014.4,25,21.8,16.48,389,96.3,0,0,0,23.4,1.1,1.179,
S3-1,June 25,175,8:25 PM,10:20 PM,115,19.63,23.4,22.3,91.2,1014.4,-10,1014.4,24.9,21.9,16.51,387,96.3,0,0,0,23.3,1.1,1.18,
S3-1,June 25,175,8:25 PM,10:35 PM,130,19.75,23.2,22.2,91.8,1014.3,-10,1014.3,24.8,21.8,16.45,383,96.3,0,0,0,23.2,1,1.18,
S3-2,June 25,175,8:25 PM,8:30 PM,5,8.08,25,21.7,75,1013.6,-4,1013.6,26,20.2,14.93,441,95.8,5,3.6,0,24.9,3.3,1.173,
S3-2,June 25,175,8:25 PM,8:45 PM,20,10.38,23.9,22.1,86,1013.8,-5,1013.8,25.3,21.4,16.06,409,96.1,0,0,0,23.9,1.8,1.177,
S3-2,June 25,175,8:25 PM,9:00 PM,35,13.24,23.5,21.8,86.7,1014,-7,1014,24.8,21.1,15.75,390,96.3,2,1.4,0,23.4,1.7,1.179,
S3-2,June 25,175,8:25 PM,9:15 PM,50,16.63,23.4,22,88,1014.3,-10,1014.3,24.8,21.4,15.98,387,96.3,0,0,0,23.4,1.4,1.18,
S3-2,June 25,175,8:25 PM,9:30 PM,65,17.78,23.2,21.5,86,1014.2,-10,1014.2,24.5,20.8,15.41,377,96.4,1,1.2,0,23.2,1.7,1.181,
S3-2,June 25,175,8:25 PM,9:45 PM,80,18.62,23.3,21.7,87.6,1014.5,-11,1014.5,24.7,21.1,15.77,380,96.4,0,0,0,23.3,1.6,1.18,
S3-2,June 25,175,8:25 PM,10:00 PM,95,19.56,23.1,21.5,87.7,1014.4,-11,1014.4,24.3,20.9,15.54,371,96.4,0,0,0,23,1.6,1.181,
S3-2,June 25,175,8:25 PM,10:15 PM,110,19.35,23.2,22,90,1014.5,-11,1014.5,24.6,21.4,16.09,377,96.4,0,0,0,23.1,1.2,1.181,
S3-2,June 25,175,8:25 PM,10:30 PM,125,19.72,23.1,22.3,93.2,1014.4,-10,1014.4,24.7,21.9,16.6,378,96.4,0,0,0,23.1,0.8,1.181,
S3-3,June 25,175,8:25 PM,8:25 PM,0,7.56,24.1,21.8,82.3,1013.7,-4,1013.7,25.3,20.9,15.5,411,96.1,0,0,0,24,2.2,1.177,
S3-3,June 25,175,8:25 PM,8:40 PM,15,9.4,24.1,22,83.2,1013.8,-5,1013.8,25.5,21.1,15.75,415,96,0,0,0,24.1,2.1,1.176,
S3-3,June 25,175,8:25 PM,8:55 PM,30,12.19,23.8,22.8,92.2,1014.5,-11,1014.5,25.5,22.4,17.09,403,96.1,0,0,0,23.7,1,1.178,
S3-3,June 25,175,8:25 PM,9:10 PM,45,15.96,23.2,21.9,89.4,1013.8,-6,1013.8,24.6,21.4,16.02,384,96.3,0,0,0,23.2,1.3,1.18,
S3-3,June 25,175,8:25 PM,9:25 PM,60,17.33,23.2,21.4,85.2,1014.3,-10,1014.3,24.3,20.6,15.21,374,96.4,3,2.1,0,23.1,1.8,1.181,
S3-3,June 25,175,8:25 PM,9:40 PM,75,18.64,23.1,21.7,88.5,1014.3,-10,1014.3,24.5,21.1,15.76,375,96.4,0,0,0,23.1,1.4,1.181,
S3-3,June 25,175,8:25 PM,9:55 PM,90,19.11,23.3,22,89.6,1014.5,-12,1014.5,24.8,21.5,16.13,381,96.3,0,0,0,23.3,1.3,1.18,
S3-3,June 25,175,8:25 PM,10:10 PM,105,19.41,23,21.5,87.8,1014.6,-13,1014.6,24.2,20.9,15.48,366,96.5,0,0,0,22.9,1.5,1.182,
S3-3,June 25,175,8:25 PM,10:25 PM,120,19.66,23.2,21.8,89.3,1014.5,-12,1014.5,24.5,21.3,15.93,375,96.4,0,0,0,23.1,1.4,1.181,
W1-1,June 27,177,8:25 PM,8:35 PM,10,10.37,20.9,15.5,57.1,1019.8,-55,1019.8,20.4,12.1,8.71,196,98.1,2,1.8,0.1,20.8,5.3,1.202,
W1-1,June 27,177,8:25 PM,8:50 PM,25,12.9,20.8,15.3,56.5,1019.8,-57,1019.8,20.4,11.9,8.59,194,98.1,3,2.1,0.11,20.8,5.5,1.202,
W1-1,June 27,177,8:25 PM,9:05 PM,40,15.14,21.2,15.3,53.3,1019.9,-57,1019.9,20.8,11.3,8.3,204,98,2,1.5,0.1,21.2,5.9,1.201,
W1-1,June 27,177,8:25 PM,9:20 PM,55,17.21,20.3,15,56.8,1020,-57,1020,19.7,11.4,8.35,172,98.3,2,1.9,0.11,20.3,5.3,1.204,
W1-1,June 27,177,8:25 PM,9:35 PM,70,17.24,20.2,15.2,59.4,1019.8,-55,1019.8,19.6,12,8.7,173,98.3,3,2.1,0.11,20.2,5,1.204,
W1-1,June 27,177,8:25 PM,9:50 PM,85,17.66,21.5,15.9,56.3,1019.8,-57,1019.8,21.2,12.4,8.92,220,97.9,2,1.5,0.09,21.4,5.6,1.199,
W1-1,June 27,177,8:25 PM,10:05 PM,100,17.53,20.7,15.4,57.4,1019.7,-55,1019.7,20.1,12,8.66,191,98.1,3,2.2,0.11,20.6,5.3,1.202,
W1-1,June 27,177,8:25 PM,10:20 PM,115,17.98,19.6,14.6,58.6,1019.8,-55,1019.8,18.6,11.3,8.26,149,98.5,3,2.2,0.12,19.5,5,1.207,
W1-1,June 27,177,8:25 PM,10:35 PM,130,17.45,19.9,14.8,58,1019.7,-55,1019.7,19.2,11.4,8.35,163,98.4,2,1.8,0.11,19.9,5.2,1.205,
W1-2,June 27,177,8:25 PM,8:30 PM,5,11.2,20.3,15.1,58.4,1020,-58,1020,19.6,11.9,8.59,173,98.3,1,1.3,0.09,20.2,5.2,1.204,
W1-2,June 27,177,8:25 PM,8:45 PM,20,13.08,20.8,15.3,56.6,1020.1,-59,1020.1,20.4,11.9,8.61,193,98.1,2,1.6,0.1,20.8,5.5,1.202,Lamp fell to the ground during this interval
W1-2,June 27,177,8:25 PM,9:00 PM,35,15.76,20.6,15.3,57.8,1020.1,-59,1020.1,20,12,8.65,183,98.2,3,2,0.11,20.5,5.3,1.203,
W1-2,June 27,177,8:25 PM,9:15 PM,50,17.47,21,15.6,57.2,1020.2,-60,1020.2,20.5,12.2,8.78,196,98.1,0,0,0.07,20.9,5.4,1.202,
W1-2,June 27,177,8:25 PM,9:30 PM,65,18.01,20.5,15.6,60.7,1020.2,-59,1020.2,20,12.6,9.03,180,98.2,0,0,0.06,20.4,4.9,1.203,
W1-2,June 27,177,8:25 PM,9:45 PM,80,17.96,20.9,15.7,58.8,1020.1,-59,1020.1,20.5,12.5,8.97,196,98.1,1,1.3,0.09,20.8,5.2,1.202,
W1-2,June 27,177,8:25 PM,10:00 PM,95,18.05,21,15.4,55.7,1020.1,-59,1020.1,20.5,11.8,8.55,197,98.1,2,1.8,0.11,20.9,5.6,1.201,
W1-2,June 27,177,8:25 PM,10:15 PM,110,18.49,20.1,15.1,59.4,1020.1,-59,1020.1,19.3,11.9,8.63,164,98.4,0,0,0.07,20,5,1.205,
W1-2,June 27,177,8:25 PM,10:30 PM,125,18.16,20.3,15.1,58.5,1020,-58,1020,19.6,11.9,8.61,174,98.3,0,0,0.07,20.2,5.2,1.204,
W1-3,June 27,177,8:25 PM,8:25 PM,0,9.05,20.4,16.6,68.6,1019.7,-55,1019.7,20.1,14.4,10.19,191,98.1,3,2.2,0.08,20.3,3.8,1.202,
W1-3,June 27,177,8:25 PM,8:40 PM,15,10.3,20.5,15.2,56.9,1019.6,-54,1019.6,19.8,11.6,8.47,183,98.2,4,3,0.13,20.4,5.3,1.203,
W1-3,June 27,177,8:25 PM,8:55 PM,30,12.99,20.9,15.5,57,1019.6,-55,1019.6,20.5,12.1,8.71,200,98,0,0,0.07,20.9,5.4,1.201,
W1-3,June 27,177,8:25 PM,9:10 PM,45,15.57,20.9,15.7,58.7,1019.7,-55,1019.7,20.6,12.5,8.97,201,98,2,1.4,0.09,20.9,5.2,1.201,
W1-3,June 27,177,8:25 PM,9:25 PM,60,16.83,20.7,15.4,57.3,1019.8,-55,1019.8,20.2,12,8.68,192,98.1,2,1.7,0.1,20.7,5.3,1.202,
W1-3,June 27,177,8:25 PM,9:40 PM,75,17.2,20.5,15.3,58.3,1019.7,-55,1019.7,19.9,12,8.68,183,98.2,0,0,0.07,20.4,5.2,1.203,
W1-3,June 27,177,8:25 PM,9:55 PM,90,17.36,20.5,15.2,57.3,1019.7,-55,1019.7,19.9,11.8,8.55,183,98.2,0,0,0.07,20.5,5.3,1.203,
W1-3,June 27,177,8:25 PM,10:10 PM,105,17.66,20,14.8,57.1,1019.6,-55,1019.6,19.2,11.3,8.27,167,98.4,2,1.7,0.11,20,5.2,1.205,SQM taken late (at approx. 10:14)
